State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Meghalaya,Jaintia Hills,0.0301905500936501,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.4869686424937135,26.5139198789065,27.092838322669223,23.923777248788085,701,704,731
Meghalaya,North Garo Hills,0.1318648278850407,0.3763010118672541,0.1992476905730563,0.2065956284452541,0.0969445633977039,0.3980278531593725,22.42414448215053,25.374191524519077,20.008913101150345,828,793,813
Meghalaya,Ri Bhoi,0.0202351038523197,0.365267625580699,0.3797018445606875,0.2494866325166009,0.1017227336144637,0.4116873942151037,23.11233198538363,23.821516569070877,22.28187012928999,811,822,786
Meghalaya,South Garo Hills,0.010543483953175,0.3889663971638725,0.2425629910621844,0.2975281169913801,0.0949229243501954,0.4014030700582102,22.403245789319783,25.21313048546168,19.30121692935257,829,800,821
Meghalaya,South West Garo Hills,0.1318648278850407,0.3586477053735022,0.3575872395812092,0.2557259087603848,0.1014735260238235,0.3747230759099346,24.438096221130788,25.57381807043779,24.645725400176406,781,784,691
Meghalaya,South West Khasi Hills,0.1318648278850407,0.4018702875848597,0.4025028408719904,0.2041689060812147,0.0948862222802679,0.3924890582438425,24.511911574375823,26.13431866143765,24.938092076435595,777,752,675
Meghalaya,West Garo Hills,0.0527589949178053,0.3837998301387658,0.300703740405674,0.3221038056601123,0.1079306667683191,0.4867649620910986,26.236204294191108,27.416859688850927,23.923220569927924,714,677,732
Meghalaya,West Jaintia Hills,0.1318648278850407,0.402577510879833,0.3710028165667379,0.1823502990565569,0.1000146248537372,0.2962608709317481,21.94561572900737,24.837343501749647,22.3220805443644,835,806,785
Meghalaya,West Khasi Hills,0.0294409312492122,0.3745546344871901,0.4388446407538383,0.2144262822317333,0.0970019850078112,0.3423525496443435,21.79842771507229,22.86531174823117,22.24817769570026,837,831,788
Mizoram,Aizawl,0.033688794218363,0.4381136302784614,0.1127552070530982,0.4089741194885444,0.1050351495433459,0.7412091869121478,31.286833376563617,33.17485444615597,24.17751569176491,310,201,718
