State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Assam,Dibrugarh,70.8,47.2,66.4,9.1,7.9,21.4,18.1,5.8,2.5,95.3,93.1,58.8,5125,44.7,75.3,98.1,94.4,33.7,51.9,19.0,57.7,27.9,32.0,27.3,20.6,20.3,20.9,75.8,75.6,58.9,0.2,0.0,0.5
Assam,Dima Hasao,60.5,43.3,73.1,8.7,5.6,23.5,17.1,7.0,2.7,91.9,89.5,61.9,4825,48.2,83.8,50.2,95.9,42.4,57.2,23.9,55.2,21.3,21.7,30.6,23.6,10.0,16.2,58.9,46.9,40.8,0.0,0.0,0.0
Assam,Goalpara,64.9,49.2,60.7,7.7,6.0,17.9,16.8,7.8,2.1,94.2,92.3,71.1,4407,36.3,75.3,90.7,89.6,23.4,16.2,5.0,52.0,15.6,35.4,38.9,24.3,12.2,15.3,65.3,44.1,52.2,0.2,0.2,0.0
Assam,Golaghat,77.2,76.7,75.1,6.7,6.4,22.0,20.5,8.0,4.1,92.1,90.4,69.3,5186,33.1,73.1,93.7,96.4,27.9,38.2,10.4,52.0,21.6,25.5,26.3,19.2,25.1,16.0,76.1,65.7,63.7,0.2,0.2,0.2
Assam,Hailakandi,61.4,58.7,59.5,9.0,7.1,24.4,21.8,5.1,4.9,84.8,83.0,53.6,5090,35.2,60.0,41.2,91.2,25.3,10.1,3.1,58.3,45.1,42.4,42.9,22.2,25.7,10.9,77.6,43.1,29.0,0.0,0.0,0.0
Assam,Hojai,56.3,51.4,56.8,7.6,6.3,25.2,21.0,4.4,2.4,83.5,82.1,67.4,5299,52.0,63.1,99.9,96.3,23.1,16.7,2.2,53.7,18.8,28.4,39.3,12.7,19.3,20.1,52.7,51.3,50.5,0.0,0.9,0.5
Assam,Jorhat,71.8,56.4,74.1,8.5,7.7,26.3,25.9,6.3,3.0,97.4,96.5,60.1,8435,48.3,80.4,85.9,95.1,42.9,30.9,4.0,47.1,16.5,33.2,38.7,15.5,22.5,19.9,78.3,67.0,52.1,0.2,0.0,0.3
Assam,Kamrup,71.5,66.5,72.9,9.3,7.1,19.2,22.2,5.0,1.5,88.5,85.0,47.0,8654,57.4,68.7,92.1,94.8,39.2,19.1,3.2,44.7,14.3,19.7,22.6,14.8,12.9,23.5,57.0,46.9,42.5,0.0,0.2,0.3
Assam,Kamrup Metro,74.6,56.4,80.4,7.8,8.3,20.3,17.0,5.2,1.3,90.1,89.1,45.5,8275,85.1,65.2,87.2,99.2,49.1,24.2,3.9,39.9,11.8,25.0,25.4,18.2,12.6,21.3,77.6,68.9,51.7,0.2,0.2,0.4
Assam,Karbi Anglong,59.0,42.1,67.5,8.5,6.5,22.8,20.1,2.2,2.2,78.3,74.9,54.1,6822,33.4,75.2,79.6,97.0,30.3,48.5,20.5,55.0,20.5,28.2,31.6,17.2,10.0,15.7,64.8,63.9,35.3,0.0,0.0,0.2
Assam,Karimganj,52.0,41.9,64.1,8.5,6.3,17.2,16.5,7.6,2.3,78.3,76.4,64.4,4287,39.6,61.5,62.3,87.1,19.6,7.0,1.4,54.2,43.0,52.9,29.1,48.0,17.8,6.6,54.8,42.8,39.9,0.0,0.0,0.5
Assam,Kokrajhar,59.5,59.5,74.7,8.1,5.9,19.4,17.8,3.4,3.8,82.0,81.9,50.2,3780,43.3,72.2,87.3,93.9,27.5,31.3,12.3,55.5,25.7,35.2,34.6,20.5,10.6,13.7,67.0,36.9,61.1,0.6,0.2,0.2
Assam,Lakhimpur,65.4,42.3,69.3,5.1,5.0,25.0,20.8,3.7,3.9,96.8,96.2,67.0,5098,36.1,74.2,81.2,97.2,42.1,39.9,15.5,55.8,27.2,34.4,38.5,18.2,17.3,12.4,61.0,51.7,42.2,0.0,0.0,0.0
Assam,Majuli,67.8,0.0,73.0,8.8,6.8,23.3,19.7,3.6,3.0,93.5,90.3,60.8,6227,19.3,65.6,98.6,93.5,41.7,45.4,32.1,54.7,26.6,22.2,35.4,14.1,18.0,14.4,76.1,72.2,56.7,0.0,0.2,0.2
Assam,Marigaon,64.2,48.0,53.3,8.1,5.5,20.5,20.1,5.4,5.9,90.0,88.3,62.5,4379,37.6,62.3,94.6,89.5,24.5,15.6,1.9,56.9,29.9,30.5,43.2,16.1,15.0,14.2,64.0,42.0,53.4,0.2,0.2,0.2
Assam,Nagaon,61.0,62.4,68.6,10.6,8.3,17.0,16.4,8.7,2.8,86.7,83.7,59.4,5670,38.6,66.1,96.1,94.5,22.1,14.8,2.5,49.0,18.2,32.4,38.9,19.4,21.5,13.2,73.1,59.4,46.5,0.2,0.2,0.4
Assam,Nalbari,66.4,53.2,71.0,9.7,8.0,24.9,22.5,3.6,2.2,91.4,91.8,52.5,6478,51.1,68.1,99.5,94.7,41.6,15.5,2.4,42.0,11.7,26.7,27.5,15.4,16.4,21.8,70.7,55.9,38.6,1.0,0.9,0.8
Assam,Sivasagar,67.6,54.3,67.5,7.7,7.9,26.0,22.0,5.1,0.4,95.6,95.3,60.7,5466,45.5,82.3,92.7,97.0,47.1,42.9,13.5,58.4,25.5,25.9,26.1,21.1,20.5,21.5,85.1,80.9,53.7,0.3,0.2,0.5
Assam,Sonitpur,63.6,47.3,69.4,5.9,5.1,24.5,24.8,4.3,2.4,82.8,83.5,66.9,5123,45.8,72.2,82.9,88.2,24.3,28.9,4.4,59.1,23.3,21.9,36.7,13.1,21.4,13.1,48.8,45.5,56.4,0.4,0.4,0.2
Assam,South Salmara Mancachar,57.1,37.6,69.6,7.1,5.3,16.5,15.5,5.4,3.9,79.4,71.7,68.2,3092,28.5,59.0,98.2,79.5,20.9,0.9,0.2,50.0,25.2,27.9,38.9,18.2,11.9,8.5,60.1,35.3,47.4,0.3,0.0,0.0
