State,District,Households,Population,Literacy_Rate
Gujarat,Tapi,177091,807022,60.72
Daman and Diu,Diu,10580,52074,73.08
Daman and Diu,Daman,50376,191173,78.64
Dadra and Nagar Haveli,Dadra & Nagar Haveli,76458,343709,64.95
Maharashtra,Nandurbar,323521,1648295,55.0
Maharashtra,Dhule,408874,2050862,63.09
Maharashtra,Jalgaon,903643,4229917,68.37
Maharashtra,Buldhana,561504,2586258,72.69
Maharashtra,Akola,395690,1813906,77.8
Maharashtra,Washim,259464,1197160,72.67
Maharashtra,Amravati,647451,2888445,77.96
Maharashtra,Wardha,309846,1300774,78.37
Maharashtra,Nagpur,1041544,4653570,78.95
Maharashtra,Bhandara,278076,1200334,74.97
Maharashtra,Gondia,292369,1322507,75.93
Maharashtra,Gadchiroli,250435,1072942,66.02
Maharashtra,Chandrapur,536686,2204307,71.62
Maharashtra,Yavatmal,646886,2772348,72.96
Maharashtra,Nanded,665434,3361292,65.14
Maharashtra,Hingoli,228868,1177345,67.16
Maharashtra,Parbhani,361130,1836086,63.06
Maharashtra,Jalna,391701,1959046,61.03
Maharashtra,Aurangabad,751915,3701282,67.65
Maharashtra,Nashik,1222887,6107187,71.15
Maharashtra,Thane,2529165,11060148,74.39
Maharashtra,Mumbai Suburban,2105604,9356962,80.96
Maharashtra,Mumbai,674339,3085411,81.32
Maharashtra,Raigarh,611790,2634200,73.65
Maharashtra,Pune,2151503,9429408,76.06
Maharashtra,Ahmednagar,930024,4543159,69.38
Maharashtra,Bid,535835,2585049,66.48
Maharashtra,Latur,481572,2454196,67.26
Maharashtra,Osmanabad,351281,1657576,68.64
Maharashtra,Solapur,873167,4317756,67.41
Maharashtra,Satara,653735,3003741,74.1
Maharashtra,Ratnagiri,397115,1615069,74.26
Maharashtra,Sindhudurg,209839,849651,78.39
Maharashtra,Kolhapur,840240,3876001,72.91
Maharashtra,Sangli,598386,2822143,72.62
Andhra Pradesh,Adilabad,649849,2741239,54.11
Andhra Pradesh,Nizamabad,593234,2551335,54.47
Andhra Pradesh,Karimnagar,976022,3776269,58.44
Andhra Pradesh,Medak,668626,3033288,53.97
Andhra Pradesh,Hyderabad,849051,3943323,73.34
Andhra Pradesh,Rangareddy,1235341,5296741,66.8
Andhra Pradesh,Mahbubnagar,869451,4053028,47.88
Andhra Pradesh,Nalgonda,875939,3488809,57.36
Andhra Pradesh,Warangal,886279,3512576,58.79
Andhra Pradesh,Khammam,754034,2797370,58.28
Andhra Pradesh,Srikakulam,681330,2703114,55.32
Andhra Pradesh,Vizianagaram,587149,2344474,52.82
Andhra Pradesh,Visakhapatnam,1097042,4290589,59.86
Andhra Pradesh,East Godavari,1428528,5154296,63.8
Andhra Pradesh,West Godavari,1091525,3936966,67.37
Andhra Pradesh,Krishna,1243293,4517398,66.63
Andhra Pradesh,Guntur,1296609,4887813,60.57
Andhra Pradesh,Prakasam,860463,3397448,56.05
Andhra Pradesh,Sri Potti Sriramulu Nellore,776854,2963557,61.82
Andhra Pradesh,Y.S.R.,706204,2882469,59.56
Andhra Pradesh,Kurnool,887652,4053463,52.48
Andhra Pradesh,Anantapur,968160,4081148,56.63
Andhra Pradesh,Chittoor,1039953,4174064,63.92
Karnataka,Belgaum,983854,4779661,63.85
Karnataka,Bagalkote,361149,1889752,58.92
Karnataka,Bijapur,408806,2177331,57.33
Karnataka,Bidar,319937,1703300,61.21
Karnataka,Raichur,363853,1928812,50.8
Karnataka,Koppal,264595,1389920,58.21
Karnataka,Gadag,219096,1064570,65.77
Karnataka,Dharwad,382700,1847023,70.47
Karnataka,Uttara Kannada,324530,1437169,75.28
